shift,flavor,cos_zen,depth,a,b,x1,k1,c
base,mu,0.0,1.4,13.237241183242697,1.4696864291306366,122.55630483099225,0.4581075279855942,0.11788530172466832
p2,mu,0.0,1.4,44.10689573540092,1.4696864291306366,366.28505254388665,0.4581075279855942,0.11788530172466832
m2,mu,0.0,1.4,3.97634481759523,1.4696864291306366,49.43768051712392,0.4581075279855942,0.11788530172466832
base,mu,0.0,2.0,7.88660591515816,1.1176325287064195,127.87656707201067,0.6754462582573613,0.15263000057908035
p2,mu,0.0,2.0,132.41813741715828,1.1176325287064195,1391.604780792067,0.6754462582573613,0.15263000057908035
m2,mu,0.0,2.0,0.1,1.1176325287064195,0.1,0.6754462582573613,0.15263000057908035
base,mu,0.0,2.1,9.200104791307131,1.8183223150722467,73.29276183566243,0.5674429557209576,0.10473458951404642
p2,mu,0.0,2.1,28.08670988547808,1.8183223150722467,263.10677106468285,0.5674429557209576,0.10473458951404642
m2,mu,0.0,2.1,3.5341232630558466,1.8183223150722467,16.348559066956298,0.5674429557209576,0.10473458951404642
base,mu,0.2,1.4,10.785491053430233,1.7424344860206065,113.16277747515979,0.6284700469694886,0.09067924884950003
p2,mu,0.2,1.4,55.06119217173979,1.7424344860206065,763.967286527972,0.6284700469694886,0.09067924884950003
m2,mu,0.2,1.4,0.1,1.7424344860206065,0.1,0.6284700469694886,0.09067924884950003
base,mu,0.2,2.0,13.729577177687744,2.688087166048282,134.57643266784686,0.26719375077779767,0.043343910095610824
p2,mu,0.2,2.0,48.17465249390976,2.688087166048282,1149.148410418653,0.26719375077779767,0.043343910095610824
m2,mu,0.2,2.0,3.3960545828211384,2.688087166048282,0.1,0.26719375077779767,0.043343910095610824
base,mu,0.2,2.1,5.181527178070159,1.784476795306553,93.48737142358364,0.5091219402181333,0.06261495952370234
p2,mu,0.2,2.1,19.636176674108423,1.784476795306553,500.6711569787021,0.5091219402181333,0.06261495952370234
m2,mu,0.2,2.1,0.8451323292586785,1.784476795306553,0.1,0.5091219402181333,0.06261495952370234
base,mu,0.4,1.4,7.521238817119725,1.7093537125041403,72.28671571527175,1.0692914174948045,0.08049258493186531
p2,mu,0.4,1.4,82.90445963639537,1.7093537125041403,1419.6173316046163,1.0692914174948045,0.08049258493186531
m2,mu,0.4,1.4,0.1,1.7093537125041403,0.1,1.0692914174948045,0.08049258493186531
base,mu,0.4,2.0,3.34641312860997,1.7644825828605775,68.94560386856176,0.9584338936272303,0.040725081201394266
p2,mu,0.4,2.0,36.50968580175979,1.7644825828605775,2410.0585514145732,0.9584338936272303,0.040725081201394266
m2,mu,0.4,2.0,0.1,1.7644825828605775,0.1,0.9584338936272303,0.040725081201394266
base,mu,0.4,2.1,5.192244461080925,1.4157262172747747,34.42053401650459,1.225691707348616,0.13597830064942926
p2,mu,0.4,2.1,178.76003111390824,1.4157262172747747,1214.6482898167799,1.225691707348616,0.13597830064942926
m2,mu,0.4,2.1,0.1,1.4157262172747747,0.1,1.225691707348616,0.13597830064942926
base,mu,0.6,1.4,6.460632292280176,1.7633639889108668,84.94491427894874,1.0958862508152138,0.05498637563310711
p2,mu,0.6,1.4,68.64940160615657,1.7633639889108668,2447.489072208819,1.0958862508152138,0.05498637563310711
m2,mu,0.6,1.4,0.1,1.7633639889108668,0.1,1.0958862508152138,0.05498637563310711
base,mu,0.6,2.0,2.7927229130553926,1.2425876997687053,90.27214671005837,1.1675348048871232,0.06716133694765185
p2,mu,0.6,2.0,79.74159604256238,1.2425876997687053,4355.312407958335,1.1675348048871232,0.06716133694765185
m2,mu,0.6,2.0,0.1,1.2425876997687053,0.1,1.1675348048871232,0.06716133694765185
base,mu,0.6,2.1,3.8502019614770857,0.9042593838210934,204.30513331069284,1.8572385796056108,0.0937366241768189
p2,mu,0.6,2.1,213.92139506228577,0.9042593838210934,13245.502639430819,1.8572385796056108,0.0937366241768189
m2,mu,0.6,2.1,0.1,0.9042593838210934,0.1,1.8572385796056108,0.0937366241768189
base,mu,0.8,1.4,4.538473576029775,1.7517073426965861,105.01554668937764,1.0098309978406292,0.03816268203816806
p2,mu,0.8,1.4,53.059196529238186,1.7517073426965861,4152.63415952111,1.0098309978406292,0.03816268203816806
m2,mu,0.8,1.4,0.1,1.7517073426965861,0.1,1.0098309978406292,0.03816268203816806
base,mu,0.8,2.0,237.84197844253626,1.823743842752543,64.95523171199146,1.6313998341492133,0.4662063231768994
p2,mu,0.8,2.0,46744.50826319741,1.823743842752543,5185.4949536860595,1.6313998341492133,0.4662063231768994
m2,mu,0.8,2.0,0.1,1.823743842752543,0.1,1.6313998341492133,0.3
base,mu,0.8,2.1,413.0020224706664,1.5215430566911707,87.64812480288153,2.0983379007121057,0.5157647239248958
p2,mu,0.8,2.1,111273.63646895203,1.5215430566911707,8099.00317124687,2.0983379007121057,0.5157647239248958
m2,mu,0.8,2.1,0.1,1.5215430566911707,0.1,2.0983379007121057,0.3
p1,mu,0.0,1.4,22.498137548890163,1.4696864291306366,195.67492914486058,0.4581075279855942,0.11788530172466832
m1,mu,0.0,1.4,10.150275728026875,1.4696864291306366,98.1834300597028,0.4581075279855942,0.11788530172466832
p1,mu,0.0,2.0,45.2460653657582,1.1176325287064195,506.9950311880276,0.6754462582573613,0.15263000057908035
m1,mu,0.0,2.0,0.1,1.1176325287064195,1.5037457000050267,0.6754462582573613,0.15263000057908035
p1,mu,0.0,2.1,14.866086319558416,1.8183223150722467,130.23696460436855,0.5674429557209576,0.10473458951404642
m1,mu,0.0,2.1,7.3114442818900365,1.8183223150722467,54.31136091276039,0.5674429557209576,0.10473458951404642
p1,mu,0.2,1.4,24.0682013889231,1.7424344860206065,308.4041301910034,0.6284700469694886,0.09067924884950003
m1,mu,0.2,1.4,6.357920941599278,1.7424344860206065,48.082326569878575,0.6284700469694886,0.09067924884950003
p1,mu,0.2,2.0,24.063099772554352,2.688087166048282,438.9480259930887,0.26719375077779767,0.043343910095610824
m1,mu,0.2,2.0,10.285069646065542,2.688087166048282,33.119234892766244,0.26719375077779767,0.043343910095610824
p1,mu,0.2,2.1,9.517922026881639,1.784476795306553,215.64250709011918,0.5091219402181333,0.06261495952370234
m1,mu,0.2,2.1,3.736062228466332,1.784476795306553,52.76899286807179,0.5091219402181333,0.06261495952370234
p1,mu,0.4,1.4,30.13620506290242,1.7093537125041403,476.48590048207507,1.0692914174948045,0.08049258493186531
m1,mu,0.4,1.4,0.1,1.7093537125041403,0.1,1.0692914174948045,0.08049258493186531
p1,mu,0.4,2.0,13.295394930554917,1.7644825828605775,771.2794881323653,0.9584338936272303,0.040725081201394266
m1,mu,0.4,2.0,0.1,1.7644825828605775,0.1,0.9584338936272303,0.040725081201394266
p1,mu,0.4,2.1,57.26258045692912,1.4157262172747747,388.4888607565871,1.225691707348616,0.13597830064942926
m1,mu,0.4,2.1,0.1,1.4157262172747747,0.1,1.225691707348616,0.13597830064942926
p1,mu,0.6,1.4,25.117263086443092,1.7633639889108668,793.7081616579098,1.0958862508152138,0.05498637563310711
m1,mu,0.6,1.4,0.24175536089253757,1.7633639889108668,0.1,1.0958862508152138,0.05498637563310711
p1,mu,0.6,2.0,25.877384851907493,1.2425876997687053,1369.7842250845415,1.1675348048871232,0.06716133694765185
m1,mu,0.6,2.0,0.1,1.2425876997687053,0.1,1.1675348048871232,0.06716133694765185
p1,mu,0.6,2.1,66.87155989171968,0.9042593838210934,4116.664385146732,1.8572385796056108,0.0937366241768189
m1,mu,0.6,2.1,0.1,0.9042593838210934,0.1,1.8572385796056108,0.0937366241768189
p1,mu,0.8,1.4,19.0946904619923,1.7517073426965861,1319.3011305388975,1.0098309978406292,0.03816268203816806
m1,mu,0.8,1.4,0.1,1.7517073426965861,0.1,1.0098309978406292,0.03816268203816806
p1,mu,0.8,2.0,14189.841863869,1.823743842752543,1601.1171483042117,1.6313998341492133,0.4662063231768994
m1,mu,0.8,2.0,0.1,1.823743842752543,0.1,1.6313998341492133,0.3
p1,mu,0.8,2.1,33671.19235641508,1.5215430566911707,2491.0546387360787,2.0983379007121057,0.5157647239248958
m1,mu,0.8,2.1,0.1,1.5215430566911707,0.1,2.0983379007121057,0.3
base,e,0.0,1.4,6.991886471746364,1.4847384261128795,138.04111539807136,0.63286553409782,0.08275588243529738
p2,e,0.0,1.4,34.817919958523824,1.4847384261128795,850.1761848134976,0.63286553409782,0.08275588243529738
